	genetics	time	replicate	MDIBL_ID	conc_ng_μL	A_260s280	A_260s230	sequence_count	filename	genohub_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ko_m30_1	KO	-3	1	KO_-3_1	166.574	1.94	1.16	50914883	ko_am30_1_R1.fastq.gz	run1/KO_31_S5_LALL_R1_001.fastq.gz	-54.4747961511159	68.2834120439668	92.8923821293847	2.79684706731322	-46.0899223527251	10.9805129035783	-2.32190439642244	-5.86814674001402
ko_m30_2	KO	-3	2	KO_-3_2	153.06	2.13	1.88	61815409	ko_am30_2_R1.fastq.gz	run1/KO_32_S6_LALL_R1_001.fastq.gz	-24.5493786367051	56.8439479666492	28.9225610495128	40.1327090935337	35.124601978549	7.19968048488517	14.7790230296932	-11.4571880123067
ko_m30_3	KO	-3	3	KO_-3_3	130.202	2.11	1.82	45716196	ko_am30_3_R1.fastq.gz	run1/KO_33_S7_LALL_R1_001.fastq.gz	34.9820889249996	50.8508685439286	43.6515378273434	32.5575910377385	18.9607146117291	16.0319994025001	35.3329205969276	-15.2538852144597
ko_m30_4	KO	-3	4	KO_-3_4	146.811	2.13	1.64	45580367	ko_am30_4_R1.fastq.gz	run1/KO_34_S8_LALL_R1_001.fastq.gz	119.768550937164	39.4681654385848	32.7668798776962	37.2368967175855	9.33833827011602	29.5326252243318	-17.7478332359428	31.5649402126275
wt_m30_1	WT	-3	1	WT_-3_1	123.886	2.1	1.65	57588838	wt_am30_1_R1.fastq.gz	run1/WT_31_S1_LALL_R1_001.fastq.gz	77.4618861574383	58.7233883623358	-35.2772047828873	3.89475702415564	-26.6579855303243	11.4183019064249	-1.75437951115678	31.6799383042239
wt_m30_2	WT	-3	2	WT_-3_2	144.163	2.11	1.41	64202767	wt_am30_2_R1.fastq.gz	run1/WT_32_S2_LALL_R1_001.fastq.gz	66.8319671763609	56.9691373650105	-1.3709931581011	1.34923471045724	-62.4950622019831	-43.4720877305439	-1.49702453964661	-4.4837733669974
wt_m30_3	WT	-3	3	WT_-3_3	133.341	2.07	1.29	67175079	wt_am30_3_R1.fastq.gz	run1/WT_33_S3_LALL_R1_001.fastq.gz	13.6566348742135	54.7996622076417	-35.8673033117557	2.84033236229555	14.9622109488183	-53.292644058005	36.2739842178511	23.1879027299743
wt_m30_4	WT	-3	4	WT_-3_4	134.487	2.15	1.39	63356407	wt_am30_4_R1.fastq.gz	run1/WT_34_S4_LALL_R1_001.fastq.gz	-60.5942442282487	87.0948846752216	-49.4644884112472	60.1707938011884	6.10402759892373	2.28715923521503	-20.7124343162419	-8.59488991673303
ko_z00_1	KO	0	1	KO_0_1	138.474	2.15	1.58	63322040	ko_bz00_1_R1.fastq.gz	run2/KO01_S5_LALL_R1_001.fastq.gz	83.3618564321273	-22.5774726174708	6.16387098180431	-33.480959250166	53.100325604652	34.5893769423958	16.2915939884774	-21.283270650327
ko_z00_2	KO	0	2	KO_0_2	123.215	2.12	1.67	43789649	ko_bz00_2_R1.fastq.gz	run2/KO02_S6_LALL_R1_001.fastq.gz	52.1706134859435	-23.786072951064	14.2203625913585	-45.6638552356797	55.6245415301154	-18.0770742769768	-9.02802593586342	0.391754858813357
ko_z00_3	KO	0	3	KO_0_3	125.073	2.13	0.54	43888003	ko_bz00_3_R1.fastq.gz	run2/KO03_S7_LALL_R1_001.fastq.gz	-23.7640929569368	2.42218329232478	56.8851063469468	-34.384090773658	15.213940443651	-17.9762010943211	-24.5091096043027	-9.28947342421568
ko_z00_4	KO	0	4	KO_0_4	126.704	2.12	1.91	46608771	ko_bz00_4_R1.fastq.gz	run2/KO04_S8_LALL_R1_001.fastq.gz	-47.262877680353	-0.230273885382818	52.2751225284895	-46.7070469485122	26.3591194400381	-8.19955273345368	-35.1965554479717	8.90926262337766
wt_z00_1	WT	0	1	WT_0_1	149.394	2.12	1.12	55724803	wt_bz00_1_R1.fastq.gz	run2/WT01_S1_LALL_R1_001.fastq.gz	-96.8750862245326	27.8477553374611	-40.0598361213551	-63.5608984020116	6.26053303120574	10.387127820538	-1.15445195328102	33.3444839829151
wt_z00_2	WT	0	2	WT_0_2	135.007	2.13	0.98	49196377	wt_bz00_2_R1.fastq.gz	run2/WT02_S2_LALL_R1_001.fastq.gz	-59.80184062747	30.1963537401544	-41.476500739377	-36.7257008997035	-7.25480456840478	-14.8538739220747	-14.3839392228	-16.8267336272878
wt_z00_3	WT	0	3	WT_0_3	138.681	2.13	1.54	58341062	wt_bz00_3_R1.fastq.gz	run2/WT03_S3_LALL_R1_001.fastq.gz	-14.7566210629066	32.0139524496241	-21.9334292747589	-9.11731891972947	-3.30957778140749	16.8982094714272	-9.22733785286428	-52.7393577367481
wt_z00_4	WT	0	4	WT_0_4	143.511	2.13	1.57	61583000	wt_bz00_4_R1.fastq.gz	run2/WT04_S4_LALL_R1_001.fastq.gz	45.4414207531099	-2.15092716856979	-52.4729626496086	-68.4215402075465	9.72814770282794	19.0629951191317	24.7093515420311	4.71250645935646
ko_p25_1	KO	2.5	1	KO_+2.5_1	109.491	2.11	1.42	47621085	ko_cp25_1_R1.fastq.gz	run3/KO_2_51_S5_LALL_R1_001.fastq.gz	87.7369946155878	-83.4486448348557	-17.6903445082528	46.6465179559804	38.0549129801081	-52.7659907558475	-21.8837984486362	-13.5701613091626
ko_p25_2	KO	2.5	2	KO_+2.5_2	105.565	2.12	0.98	49990819	ko_cp25_2_R1.fastq.gz	run3/KO_2_52_S6_LALL_R1_001.fastq.gz	24.3134169359774	-85.9509087446999	72.2202041874052	-13.6656064949792	-53.058363396677	4.19884338004733	32.6527930482559	0.903648035695328
ko_p25_3	KO	2.5	3	KO_+2.5_3	119.387	2.09	2.25	58009227	ko_cp25_3_R1.fastq.gz	run3/KO_2_53_S7_LALL_R1_001.fastq.gz	-61.2221960044941	-68.1462905964376	18.1917854798475	41.9071478922002	33.1655723512057	-0.79905271185333	17.4015092580781	22.3858471805453
ko_p25_4	KO	2.5	4	KO_+2.5_4	163.39	2.11	2.03	46388653	ko_cp25_4_R1.fastq.gz	run3/KO_2_54_S8_LALL_R1_001.fastq.gz	-72.2634117784209	-62.6657436378889	46.4046882093271	26.6839026518368	-4.20030982040213	7.03993777474785	-22.6234062212109	18.5023885781413
